"","ID","Lat","Long","Pann.modern"
"1",1,49.5,90.6,273.36
"4",4,50.25,89.625,411.4
"7",7,34.8305,98.19816667,356.88
"10",10,52.08333333,105.8653333,240.56
"16",16,43.61666667,92.8,162.75
"17",17,41.65,115.21,388.57
"22",22,41.96666667,86.55,73.59
"24",24,35.95,90.83333333,217.21
"28",28,43.55,87.78333333,222.71
"29",29,31.61666667,121.3833333,1109.22
"30",30,32.25,120.2333333,1058.7
"41",41,48.2,98.79444444,365.33
"42",42,37.1,95.5,58.38
"45",45,27.83333333,102.6666667,1069.19
"46",46,24.25,115.0333333,1779.67
"47",47,40.58333333,112.6666667,375.87
"49",49,31.75,110.6666667,1129.94
"50",50,43.28333333,116.5833333,349.05
"52",52,47.83333333,88.2,208.89
"58",58,34.46893333,113.65,660.62
"61",61,24.75,115.0333333,1682.93
"64",64,39.53333333,115.7833333,509.07
"66",66,51.33333333,99.38333333,333.89
"68",68,38.1,96.4,338.77
"69",69,44.55,82.45,173.63
"71",71,25.76666667,100.2,785.18
"72",72,42.3,126.3666667,813.46
"78",78,38.885,112.1938333,504.99
"81",81,55,83.33333333,457.77
"82",82,34.63333333,92.15,273.63
"83",83,50.38333333,89.41666667,335.7
"84",84,31.0645,121.1916667,1179.36
"87",87,31.2755,118.897,1272.98
"88",88,50.25,106.6,377.23
"91",91,36.71666667,99.78333333,359.62
"95",95,42.95633333,116.757,381.79
"99",99,29.96666667,121.35,1411.59
"104",104,32.8,102.5333333,771.82
"107",107,40.56666667,115.15,376.43
"108",108,23.13333333,113.2333333,1821.51
"111",111,21.15,110.2833333,1690.27
"113",113,49.12691667,117.5059333,283.53
"114",114,37.28333333,96.9,117.38
"119",119,42.374,117.47,480.14
"124",124,40.5,96.65,59.25
"126",126,41.89,101.85,39.81
"129",130,50.5055,87.64166667,348.27
"133",134,52.78333333,108.1166667,348.27
"136",138,34.01116667,97.2405,480.71
"137",139,35.51583333,99.3095,426.72
"142",144,42.70733333,116.683,398.09
"144",146,31.08139167,112.2384583,990.47
"145",147,40.33333333,90.25,17.09
"147",149,37.59333333,101.35,484.98
"149",151,29.98436667,121.3625333,1406.26
"151",153,45.83333333,85.91666667,125.21
"157",159,38.05,117.1166667,551.79
"160",162,31.11333333,99.75516667,705.2
"162",164,26.7,104.2333333,979.31
"165",167,37.95,113.8833333,519.09
"176",179,31.9,121.7,1089
"178",181,36.66666667,100.5166667,420.86
"180",183,26.53333333,99.86666667,915.79
"181",184,29.81283333,92.37283333,555.91
"182",185,30.73283333,96.68283333,653.49
"186",189,43.61666667,117.3833333,416.79
"187",190,31.56666667,88.51666667,298.87
"191",194,28.58333333,102.2166667,1033.78
"192",195,43.25,117.5166667,389.81
"203",206,35.53883333,104.5228333,426.09
"216",219,55,84,715.19
"222",225,34.86666667,90.5,249.03
"224",227,50.48333333,87.10833333,168.16
"228",231,36.161,114.6691667,531.69
"234",237,43.2,83.5,410
"235",238,35.76,105.82,435.27
"241",244,37.38333333,122.5166667,711.38
"242",245,33.38,101.47,719.88
"243",246,32.70966667,119.8758333,1030.66
"246",249,49.9,102.6,179.21
"247",250,38.35,117.35,562.32
"248",251,35.43333333,84.65,188.74
"252",255,40.11666667,114.2166667,388.76
"255",258,30.29833333,99.55166667,726.17
"265",268,32,90.9,383.65
"267",270,33.95,103.35,655.42
"268",271,33.95,102.35,668.66
"269",272,35.5,98.5,311
"270",273,34.60580278,80.24392222,68.04
"271",274,50,93,171.84
"275",278,44.34,81.09,254.16
"276",279,39.5,109.5,393
"277",280,26.63438889,99.71666667,969.96
"278",281,50.2,105.2,291
"279",282,23.81666667,120.8833333,1424.1
"281",284,26.76666667,119.0333333,1673.04
"282",285,31.48555556,110.0019444,879.96
"284",287,38.9,112.2333333,468
"285",288,42.28333333,126.6,775
"287",290,45.01666667,82.83333333,95
"290",297,33.45,102.6333333,648.5
